Year,State name,District Name,Aspirational Final,Category name,Class,Gender,Amount of Scholarship,Scholarship_Category_Ratio
2023,Punjab,Moga,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Rajasthan,Karauli,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Rajasthan,Sirohi,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Rajasthan,Sirohi,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Punjab,Firozpur,Aspirational,Gen,8,Boys,10000,0.22982411654871948
2023,Rajasthan,Karauli,Aspirational,Gen,8,Boys,10000,0.22982411654871948
2023,Odisha,Rayagada,Aspirational,Gen,9,Boys,10000,0.22982411654871948
2023,Punjab,Firozpur,Aspirational,Gen,9,Boys,10000,0.22982411654871948
2023,Rajasthan,Sirohi,Aspirational,Gen,9,Boys,10000,0.22982411654871948
2023,Rajasthan,Sirohi,Aspirational,Gen,9,Boys,10000,0.22982411654871948
2023,Rajasthan,Sirohi,Aspirational,Gen,9,Boys,10000,0.22982411654871948
2023,Punjab,Firozpur,Aspirational,Gen,10,Boys,10000,0.22982411654871948
2023,Rajasthan,Sirohi,Aspirational,Gen,10,Boys,10000,0.22982411654871948
2023,Rajasthan,Sirohi,Aspirational,Gen,10,Boys,10000,0.22982411654871948
2023,Odisha,Rayagada,Aspirational,Obc,6,Boys,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,6,Boys,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,6,Boys,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,6,Boys,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,6,Boys,10000,0.5243309282865771
2023,Tamil Nadu,Ramanathapuram,Aspirational,Obc,6,Boys,10000,0.5243309282865771
2023,Odisha,Nuapada,Aspirational,Obc,7,Boys,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,7,Boys,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,7,Boys,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,7,Boys,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,7,Boys,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,7,Boys,10000,0.5243309282865771
2023,Tamil Nadu,Ramanathapuram,Aspirational,Obc,7,Boys,10000,0.5243309282865771
2023,Tamil Nadu,Ramanathapuram,Aspirational,Obc,7,Boys,10000,0.5243309282865771
2023,Punjab,Moga,Aspirational,Obc,8,Boys,10000,0.5243309282865771
2023,Punjab,Moga,Aspirational,Obc,8,Boys,10000,0.5243309282865771
2023,Rajasthan,Dholpur,Aspirational,Obc,8,Boys,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,8,Boys,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,8,Boys,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,8,Boys,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,8,Boys,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,8,Boys,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,8,Boys,10000,0.5243309282865771
2023,Odisha,Rayagada,Aspirational,Obc,9,Boys,10000,0.5243309282865771
2023,Odisha,Rayagada,Aspirational,Obc,9,Boys,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,9,Boys,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,9,Boys,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,9,Boys,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,9,Boys,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,9,Boys,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,9,Boys,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,9,Boys,10000,0.5243309282865771
2023,Odisha,Rayagada,Aspirational,Obc,10,Boys,10000,0.5243309282865771
2023,Rajasthan,Dholpur,Aspirational,Obc,10,Boys,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,10,Boys,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,10,Boys,10000,0.5243309282865771
2023,Rajasthan,Karauli,Aspirational,Obc,10,Boys,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,10,Boys,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,10,Boys,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,10,Boys,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,10,Boys,10000,0.5243309282865771
2023,Rajasthan,Sirohi,Aspirational,Obc,10,Boys,10000,0.5243309282865771
2023,Punjab,Firozpur,Aspirational,Sc,6,Boys,10000,0.15246305986491782
2023,Punjab,Firozpur,Aspirational,Sc,6,Boys,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,6,Boys,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,6,Boys,10000,0.15246305986491782
2023,Tamil Nadu,Ramanathapuram,Aspirational,Sc,6,Boys,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,7,Boys,10000,0.15246305986491782
2023,Rajasthan,Sirohi,Aspirational,Sc,7,Boys,10000,0.15246305986491782
2023,Rajasthan,Sirohi,Aspirational,Sc,7,Boys,10000,0.15246305986491782
2023,Punjab,Firozpur,Aspirational,Sc,8,Boys,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,8,Boys,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,8,Boys,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,8,Boys,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,8,Boys,10000,0.15246305986491782
2023,Rajasthan,Karauli,Aspirational,Sc,8,Boys,10000,0.15246305986491782
2023,Rajasthan,Sirohi,Aspirational,Sc,8,Boys,10000,0.15246305986491782
2023,Rajasthan,Sirohi,Aspirational,Sc,8,Boys,10000,0.15246305986491782
