state_name,gender,category_name,aspirational_final,class,amount_of_scholarship
Andaman and Nicobar Islands,Boys,Gen,Non-Aspirational,6,10000.0
Andaman and Nicobar Islands,Boys,Gen,Non-Aspirational,7,10000.0
Andaman and Nicobar Islands,Boys,Gen,Non-Aspirational,8,10000.0
Andaman and Nicobar Islands,Boys,Gen,Non-Aspirational,9,10000.0
Andaman and Nicobar Islands,Boys,Gen,Non-Aspirational,10,10000.0
Andaman and Nicobar Islands,Boys,OBC,Non-Aspirational,8,10000.0
Andaman and Nicobar Islands,Girls,Gen,Non-Aspirational,7,10000.0
Andaman and Nicobar Islands,Girls,Gen,Non-Aspirational,8,10000.0
Andaman and Nicobar Islands,Girls,Gen,Non-Aspirational,9,10000.0
Andaman and Nicobar Islands,Girls,Gen,Non-Aspirational,10,40000.0
Andaman and Nicobar Islands,Girls,OBC,Non-Aspirational,10,10000.0
Andaman and Nicobar Islands,Girls,ST,Non-Aspirational,9,10000.0
Andhra Pradesh,Boys,Gen,Aspirational,6,10000.0
Andhra Pradesh,Boys,Gen,Aspirational,7,100000.0
Andhra Pradesh,Boys,Gen,Aspirational,8,120000.0
Andhra Pradesh,Boys,Gen,Aspirational,9,120000.0
Andhra Pradesh,Boys,Gen,Aspirational,10,100000.0
Andhra Pradesh,Boys,Gen,Non-Aspirational,6,290000.0
Andhra Pradesh,Boys,Gen,Non-Aspirational,7,470000.0
Andhra Pradesh,Boys,Gen,Non-Aspirational,8,890000.0
Andhra Pradesh,Boys,Gen,Non-Aspirational,9,1140000.0
Andhra Pradesh,Boys,Gen,Non-Aspirational,10,460000.0
Andhra Pradesh,Boys,OBC,Aspirational,6,120000.0
Andhra Pradesh,Boys,OBC,Aspirational,7,210000.0
Andhra Pradesh,Boys,OBC,Aspirational,8,430000.0
Andhra Pradesh,Boys,OBC,Aspirational,9,590000.0
Andhra Pradesh,Boys,OBC,Aspirational,10,250000.0
Andhra Pradesh,Boys,OBC,Non-Aspirational,6,450000.0
Andhra Pradesh,Boys,OBC,Non-Aspirational,7,1140000.0
Andhra Pradesh,Boys,OBC,Non-Aspirational,8,2080000.0
Andhra Pradesh,Boys,OBC,Non-Aspirational,9,2570000.0
Andhra Pradesh,Boys,OBC,Non-Aspirational,10,1450000.0
Andhra Pradesh,Boys,SC,Aspirational,6,20000.0
Andhra Pradesh,Boys,SC,Aspirational,7,20000.0
Andhra Pradesh,Boys,SC,Aspirational,8,110000.0
Andhra Pradesh,Boys,SC,Aspirational,9,190000.0
Andhra Pradesh,Boys,SC,Aspirational,10,80000.0
Andhra Pradesh,Boys,SC,Non-Aspirational,6,260000.0
Andhra Pradesh,Boys,SC,Non-Aspirational,7,380000.0
Andhra Pradesh,Boys,SC,Non-Aspirational,8,830000.0
Andhra Pradesh,Boys,SC,Non-Aspirational,9,1160000.0
Andhra Pradesh,Boys,SC,Non-Aspirational,10,660000.0
Andhra Pradesh,Boys,ST,Aspirational,7,20000.0
Andhra Pradesh,Boys,ST,Aspirational,8,50000.0
Andhra Pradesh,Boys,ST,Aspirational,9,50000.0
Andhra Pradesh,Boys,ST,Aspirational,10,20000.0
Andhra Pradesh,Boys,ST,Non-Aspirational,6,50000.0
Andhra Pradesh,Boys,ST,Non-Aspirational,7,60000.0
Andhra Pradesh,Boys,ST,Non-Aspirational,8,100000.0
Andhra Pradesh,Boys,ST,Non-Aspirational,9,240000.0
Andhra Pradesh,Boys,ST,Non-Aspirational,10,150000.0
Andhra Pradesh,Girls,Gen,Aspirational,6,30000.0
Andhra Pradesh,Girls,Gen,Aspirational,7,90000.0
Andhra Pradesh,Girls,Gen,Aspirational,8,200000.0
Andhra Pradesh,Girls,Gen,Aspirational,9,210000.0
Andhra Pradesh,Girls,Gen,Aspirational,10,100000.0
Andhra Pradesh,Girls,Gen,Non-Aspirational,6,260000.0
Andhra Pradesh,Girls,Gen,Non-Aspirational,7,530000.0
Andhra Pradesh,Girls,Gen,Non-Aspirational,8,670000.0
Andhra Pradesh,Girls,Gen,Non-Aspirational,9,1290000.0
Andhra Pradesh,Girls,Gen,Non-Aspirational,10,530000.0
Andhra Pradesh,Girls,OBC,Aspirational,6,170000.0
Andhra Pradesh,Girls,OBC,Aspirational,7,270000.0
Andhra Pradesh,Girls,OBC,Aspirational,8,450000.0
Andhra Pradesh,Girls,OBC,Aspirational,9,690000.0
Andhra Pradesh,Girls,OBC,Aspirational,10,200000.0
Andhra Pradesh,Girls,OBC,Non-Aspirational,6,520000.0
Andhra Pradesh,Girls,OBC,Non-Aspirational,7,990000.0
Andhra Pradesh,Girls,OBC,Non-Aspirational,8,1510000.0
Andhra Pradesh,Girls,OBC,Non-Aspirational,9,2780000.0
Andhra Pradesh,Girls,OBC,Non-Aspirational,10,1170000.0
Andhra Pradesh,Girls,SC,Aspirational,6,30000.0
Andhra Pradesh,Girls,SC,Aspirational,7,40000.0
Andhra Pradesh,Girls,SC,Aspirational,8,100000.0
Andhra Pradesh,Girls,SC,Aspirational,9,210000.0
Andhra Pradesh,Girls,SC,Aspirational,10,130000.0
Andhra Pradesh,Girls,SC,Non-Aspirational,6,160000.0
Andhra Pradesh,Girls,SC,Non-Aspirational,7,370000.0
Andhra Pradesh,Girls,SC,Non-Aspirational,8,780000.0
Andhra Pradesh,Girls,SC,Non-Aspirational,9,1280000.0
Andhra Pradesh,Girls,SC,Non-Aspirational,10,510000.0
Andhra Pradesh,Girls,ST,Aspirational,7,10000.0
Andhra Pradesh,Girls,ST,Aspirational,8,60000.0
Andhra Pradesh,Girls,ST,Aspirational,9,60000.0
Andhra Pradesh,Girls,ST,Aspirational,10,20000.0
Andhra Pradesh,Girls,ST,Non-Aspirational,6,80000.0
Andhra Pradesh,Girls,ST,Non-Aspirational,7,60000.0
Andhra Pradesh,Girls,ST,Non-Aspirational,8,150000.0
Andhra Pradesh,Girls,ST,Non-Aspirational,9,210000.0
Andhra Pradesh,Girls,ST,Non-Aspirational,10,120000.0
Arunachal Pradesh,Boys,OBC,Non-Aspirational,10,10000.0
Arunachal Pradesh,Boys,ST,Non-Aspirational,8,20000.0
Arunachal Pradesh,Boys,ST,Non-Aspirational,9,20000.0
Arunachal Pradesh,Boys,ST,Non-Aspirational,10,10000.0
Arunachal Pradesh,Girls,Gen,Non-Aspirational,6,10000.0
Arunachal Pradesh,Girls,Gen,Non-Aspirational,9,10000.0
Assam,Boys,Gen,Aspirational,10,40000.0
Assam,Boys,Gen,Non-Aspirational,6,30000.0
Assam,Boys,Gen,Non-Aspirational,7,20000.0
Assam,Boys,Gen,Non-Aspirational,8,50000.0
Assam,Boys,Gen,Non-Aspirational,9,180000.0
Assam,Boys,Gen,Non-Aspirational,10,90000.0
Assam,Boys,OBC,Aspirational,9,20000.0
Assam,Boys,OBC,Non-Aspirational,6,40000.0
Assam,Boys,OBC,Non-Aspirational,7,50000.0
Assam,Boys,OBC,Non-Aspirational,8,80000.0
Assam,Boys,OBC,Non-Aspirational,9,60000.0
Assam,Boys,OBC,Non-Aspirational,10,100000.0
Assam,Boys,SC,Non-Aspirational,8,20000.0
Assam,Boys,SC,Non-Aspirational,10,60000.0
Assam,Boys,ST,Non-Aspirational,7,20000.0
Assam,Boys,ST,Non-Aspirational,8,20000.0
Assam,Boys,ST,Non-Aspirational,10,70000.0
Assam,Girls,Gen,Aspirational,8,10000.0
Assam,Girls,Gen,Non-Aspirational,6,20000.0
Assam,Girls,Gen,Non-Aspirational,7,60000.0
Assam,Girls,Gen,Non-Aspirational,8,70000.0
Assam,Girls,Gen,Non-Aspirational,9,100000.0
Assam,Girls,Gen,Non-Aspirational,10,40000.0
Assam,Girls,OBC,Aspirational,9,10000.0
Assam,Girls,OBC,Aspirational,10,10000.0
Assam,Girls,OBC,Non-Aspirational,6,10000.0
Assam,Girls,OBC,Non-Aspirational,8,50000.0
Assam,Girls,OBC,Non-Aspirational,9,120000.0
Assam,Girls,OBC,Non-Aspirational,10,100000.0
Assam,Girls,SC,Aspirational,9,10000.0
Assam,Girls,SC,Non-Aspirational,8,30000.0
Assam,Girls,SC,Non-Aspirational,9,40000.0
Assam,Girls,SC,Non-Aspirational,10,30000.0
Assam,Girls,ST,Aspirational,10,10000.0
Assam,Girls,ST,Non-Aspirational,8,20000.0
Assam,Girls,ST,Non-Aspirational,9,20000.0
Assam,Girls,ST,Non-Aspirational,10,20000.0
Bihar,Boys,Gen,Aspirational,6,120000.0
Bihar,Boys,Gen,Aspirational,7,180000.0
Bihar,Boys,Gen,Aspirational,8,370000.0
Bihar,Boys,Gen,Aspirational,9,310000.0
Bihar,Boys,Gen,Aspirational,10,240000.0
Bihar,Boys,Gen,Non-Aspirational,6,160000.0
Bihar,Boys,Gen,Non-Aspirational,7,360000.0
Bihar,Boys,Gen,Non-Aspirational,8,750000.0
