state_name,category_name,aspirational_final,class,amount_of_scholarship,gender_male,is_outlier
Andaman and Nicobar Islands,Gen,False,0.0,10000.0,True,False
Andaman and Nicobar Islands,Gen,False,0.25,10000.0,True,False
Andaman and Nicobar Islands,Gen,False,0.5,10000.0,True,False
Andaman and Nicobar Islands,Gen,False,0.75,10000.0,True,False
Andaman and Nicobar Islands,Gen,False,1.0,10000.0,True,False
Andaman and Nicobar Islands,OBC,False,0.5,10000.0,True,False
Andaman and Nicobar Islands,Gen,False,0.25,10000.0,False,False
Andaman and Nicobar Islands,Gen,False,0.5,10000.0,False,False
Andaman and Nicobar Islands,Gen,False,0.75,10000.0,False,False
Andaman and Nicobar Islands,Gen,False,1.0,40000.0,False,False
Andaman and Nicobar Islands,OBC,False,1.0,10000.0,False,False
Andaman and Nicobar Islands,ST,False,0.75,10000.0,False,False
Andhra Pradesh,Gen,True,0.0,10000.0,True,False
Andhra Pradesh,Gen,True,0.25,100000.0,True,False
Andhra Pradesh,Gen,True,0.5,120000.0,True,False
Andhra Pradesh,Gen,True,0.75,120000.0,True,False
Andhra Pradesh,Gen,True,1.0,100000.0,True,False
Andhra Pradesh,Gen,False,0.0,290000.0,True,False
Andhra Pradesh,Gen,False,0.25,470000.0,True,False
Andhra Pradesh,Gen,False,1.0,460000.0,True,False
Andhra Pradesh,OBC,True,0.0,120000.0,True,False
Andhra Pradesh,OBC,True,0.25,210000.0,True,False
Andhra Pradesh,OBC,True,0.5,430000.0,True,False
Andhra Pradesh,OBC,True,0.75,590000.0,True,False
Andhra Pradesh,OBC,True,1.0,250000.0,True,False
Andhra Pradesh,OBC,False,0.0,450000.0,True,False
Andhra Pradesh,SC,True,0.0,20000.0,True,False
Andhra Pradesh,SC,True,0.25,20000.0,True,False
Andhra Pradesh,SC,True,0.5,110000.0,True,False
Andhra Pradesh,SC,True,0.75,190000.0,True,False
Andhra Pradesh,SC,True,1.0,80000.0,True,False
Andhra Pradesh,SC,False,0.0,260000.0,True,False
Andhra Pradesh,SC,False,0.25,380000.0,True,False
Andhra Pradesh,SC,False,1.0,660000.0,True,False
Andhra Pradesh,ST,True,0.25,20000.0,True,False
Andhra Pradesh,ST,True,0.5,50000.0,True,False
Andhra Pradesh,ST,True,0.75,50000.0,True,False
Andhra Pradesh,ST,True,1.0,20000.0,True,False
Andhra Pradesh,ST,False,0.0,50000.0,True,False
Andhra Pradesh,ST,False,0.25,60000.0,True,False
Andhra Pradesh,ST,False,0.5,100000.0,True,False
Andhra Pradesh,ST,False,0.75,240000.0,True,False
Andhra Pradesh,ST,False,1.0,150000.0,True,False
Andhra Pradesh,Gen,True,0.0,30000.0,False,False
Andhra Pradesh,Gen,True,0.25,90000.0,False,False
Andhra Pradesh,Gen,True,0.5,200000.0,False,False
Andhra Pradesh,Gen,True,0.75,210000.0,False,False
Andhra Pradesh,Gen,True,1.0,100000.0,False,False
Andhra Pradesh,Gen,False,0.0,260000.0,False,False
Andhra Pradesh,Gen,False,0.25,530000.0,False,False
Andhra Pradesh,Gen,False,0.5,670000.0,False,False
Andhra Pradesh,Gen,False,1.0,530000.0,False,False
Andhra Pradesh,OBC,True,0.0,170000.0,False,False
Andhra Pradesh,OBC,True,0.25,270000.0,False,False
Andhra Pradesh,OBC,True,0.5,450000.0,False,False
Andhra Pradesh,OBC,True,0.75,690000.0,False,False
Andhra Pradesh,OBC,True,1.0,200000.0,False,False
Andhra Pradesh,OBC,False,0.0,520000.0,False,False
Andhra Pradesh,SC,True,0.0,30000.0,False,False
Andhra Pradesh,SC,True,0.25,40000.0,False,False
Andhra Pradesh,SC,True,0.5,100000.0,False,False
Andhra Pradesh,SC,True,0.75,210000.0,False,False
Andhra Pradesh,SC,True,1.0,130000.0,False,False
Andhra Pradesh,SC,False,0.0,160000.0,False,False
Andhra Pradesh,SC,False,0.25,370000.0,False,False
Andhra Pradesh,SC,False,1.0,510000.0,False,False
Andhra Pradesh,ST,True,0.25,10000.0,False,False
Andhra Pradesh,ST,True,0.5,60000.0,False,False
Andhra Pradesh,ST,True,0.75,60000.0,False,False
Andhra Pradesh,ST,True,1.0,20000.0,False,False
Andhra Pradesh,ST,False,0.0,80000.0,False,False
Andhra Pradesh,ST,False,0.25,60000.0,False,False
Andhra Pradesh,ST,False,0.5,150000.0,False,False
Andhra Pradesh,ST,False,0.75,210000.0,False,False
Andhra Pradesh,ST,False,1.0,120000.0,False,False
Arunachal Pradesh,OBC,False,1.0,10000.0,True,False
Arunachal Pradesh,ST,False,0.5,20000.0,True,False
Arunachal Pradesh,ST,False,0.75,20000.0,True,False
Arunachal Pradesh,ST,False,1.0,10000.0,True,False
Arunachal Pradesh,Gen,False,0.0,10000.0,False,False
Arunachal Pradesh,Gen,False,0.75,10000.0,False,False
Assam,Gen,True,1.0,40000.0,True,False
Assam,Gen,False,0.0,30000.0,True,False
Assam,Gen,False,0.25,20000.0,True,False
Assam,Gen,False,0.5,50000.0,True,False
Assam,Gen,False,0.75,180000.0,True,False
Assam,Gen,False,1.0,90000.0,True,False
Assam,OBC,True,0.75,20000.0,True,False
Assam,OBC,False,0.0,40000.0,True,False
Assam,OBC,False,0.25,50000.0,True,False
Assam,OBC,False,0.5,80000.0,True,False
Assam,OBC,False,0.75,60000.0,True,False
Assam,OBC,False,1.0,100000.0,True,False
Assam,SC,False,0.5,20000.0,True,False
Assam,SC,False,1.0,60000.0,True,False
