state_name,category_name,aspirational_final,class,amount_of_scholarship,gender_male,is_outlier
Andhra Pradesh,Gen,False,0.5,890000.0,True,True
Andhra Pradesh,Gen,False,0.75,1140000.0,True,True
Andhra Pradesh,OBC,False,0.25,1140000.0,True,True
Andhra Pradesh,OBC,False,0.5,2080000.0,True,True
Andhra Pradesh,OBC,False,0.75,2570000.0,True,True
Andhra Pradesh,OBC,False,1.0,1450000.0,True,True
Andhra Pradesh,SC,False,0.5,830000.0,True,True
Andhra Pradesh,SC,False,0.75,1160000.0,True,True
Andhra Pradesh,Gen,False,0.75,1290000.0,False,True
Andhra Pradesh,OBC,False,0.25,990000.0,False,True
Andhra Pradesh,OBC,False,0.5,1510000.0,False,True
Andhra Pradesh,OBC,False,0.75,2780000.0,False,True
Andhra Pradesh,OBC,False,1.0,1170000.0,False,True
Andhra Pradesh,SC,False,0.5,780000.0,False,True
Andhra Pradesh,SC,False,0.75,1280000.0,False,True
Bihar,OBC,True,0.25,1030000.0,True,True
Bihar,OBC,True,0.5,1800000.0,True,True
Bihar,OBC,True,0.75,960000.0,True,True
Bihar,OBC,False,0.25,1210000.0,True,True
Bihar,OBC,False,0.5,2580000.0,True,True
Bihar,OBC,False,0.75,1440000.0,True,True
Bihar,OBC,False,1.0,1060000.0,True,True
Bihar,Gen,False,0.5,820000.0,False,True
Bihar,OBC,True,0.25,990000.0,False,True
Bihar,OBC,True,0.5,1960000.0,False,True
Bihar,OBC,True,0.75,820000.0,False,True
Bihar,OBC,False,0.25,1120000.0,False,True
Bihar,OBC,False,0.5,3300000.0,False,True
Bihar,OBC,False,0.75,1440000.0,False,True
Bihar,OBC,False,1.0,930000.0,False,True
Chhattisgarh,OBC,False,0.25,1190000.0,True,True
Chhattisgarh,OBC,False,0.5,1770000.0,True,True
Chhattisgarh,OBC,False,0.75,1050000.0,True,True
Chhattisgarh,OBC,False,1.0,1760000.0,True,True
Chhattisgarh,ST,True,0.5,860000.0,True,True
Chhattisgarh,OBC,True,0.5,780000.0,False,True
Chhattisgarh,OBC,False,0.25,1230000.0,False,True
Chhattisgarh,OBC,False,0.5,2380000.0,False,True
Chhattisgarh,OBC,False,0.75,1610000.0,False,True
Chhattisgarh,OBC,False,1.0,2150000.0,False,True
Chhattisgarh,ST,True,0.5,980000.0,False,True
Chhattisgarh,ST,False,0.5,1000000.0,False,True
Gujarat,OBC,False,0.25,820000.0,True,True
Gujarat,OBC,False,0.5,1160000.0,True,True
