Year,State name,Total Scholarship Amount
2023,Andaman and Nicobar Islands,150000
2023,Andhra Pradesh,34480000
2023,Arunachal Pradesh,80000
2023,Assam,1730000
2023,Bihar,34250000
2023,Chandigarh,1220000
2023,Chhattisgarh,35740000
2023,Dadra and Nagar Haveli & Daman and Diu,60000
2023,Delhi,2030000
2023,Goa,150000
2023,Gujarat,12160000
2023,Haryana,3330000
2023,Himachal Pradesh,6220000
2023,Jammu & Kashmir,7850000
2023,Jharkhand,16860000
2023,Karnataka,74700000
2023,Kerala,4810000
2023,LAKSHADWEEP,20000
2023,Ladakh,40000
2023,Madhya Pradesh,19340000
2023,Maharashtra,16860000
2023,Manipur,180000
2023,Meghalaya,450000
2023,Mizoram,130000
2023,Nagaland,60000
2023,Odisha,31160000
2023,Puducherry,210000
2023,Punjab,3660000
2023,Rajasthan,60210000
2023,Sikkim,380000
2023,Tamil Nadu,7840000
2023,Telangana,29610000
2023,Tripura,180000
2023,Uttar Pradesh,9750000
2023,Uttarakhand,17150000
2023,West Bengal,760000
