Year,State name,Population (millions),Grant Per Capita,Total Scholarship Amount (Millions)
2023,Andaman and Nicobar Islands,0.4,0.375,0.15
2023,Andhra Pradesh,49.38,0.6982584042122316,34.48
2023,Arunachal Pradesh,1.48,0.05405405405405406,0.08
2023,Assam,35.6,0.04859550561797753,1.73
2023,Bihar,126.7,0.27032359905288084,34.25
2023,Chandigarh,1.1,1.1090909090909091,1.22
2023,Chhattisgarh,30.6,1.1679738562091504,35.74
2023,Dadra and Nagar Haveli & Daman and Diu,0.5,0.12,0.06
2023,Delhi,19.3,0.10518134715025906,2.03
2023,Goa,1.58,0.0949367088607595,0.15
2023,Gujarat,63.8,0.19059561128526645,12.16
2023,Haryana,29.5,0.11288135593220339,3.33
2023,Himachal Pradesh,7.3,0.852054794520548,6.22
2023,Jammu & Kashmir,13.6,0.5772058823529411,7.85
2023,Jharkhand,38.5,0.43792207792207793,16.86
2023,Karnataka,67.5,1.1066666666666667,74.7
2023,Kerala,35.8,0.13435754189944135,4.81
2023,LAKSHADWEEP,0.06,0.3333333333333333,0.02
2023,Ladakh,0.3,0.13333333333333333,0.04
2023,Madhya Pradesh,85.0,0.22752941176470587,19.34
2023,Maharashtra,125.0,0.13488,16.86
2023,Manipur,3.2,0.05625,0.18
2023,Meghalaya,3.4,0.1323529411764706,0.45
2023,Mizoram,1.2,0.10833333333333334,0.13
2023,Nagaland,2.2,0.02727272727272727,0.06
2023,Odisha,46.5,0.6701075268817205,31.16
2023,Puducherry,1.6,0.13125,0.21
2023,Punjab,30.0,0.122,3.66
2023,Rajasthan,80.0,0.752625,60.21
2023,Sikkim,0.69,0.5507246376811594,0.38
2023,Tamil Nadu,75.3,0.10411686586985391,7.84
2023,Telangana,37.8,0.7833333333333333,29.61
2023,Tripura,4.1,0.04390243902439025,0.18
2023,Uttar Pradesh,235.0,0.04148936170212766,9.75
2023,Uttarakhand,11.4,1.5043859649122806,17.15
2023,West Bengal,98.7,0.007700101317122594,0.76
