Year,State name,Population (millions),Grant Per Capita,Total Scholarship Amount (Millions)
2023,Andaman and Nicobar Islands,0.4,0.375,0.15
2023,Andhra Pradesh,49.38,0.6983,34.48
2023,Arunachal Pradesh,1.48,0.0541,0.08
2023,Assam,35.6,0.0486,1.73
2023,Bihar,126.7,0.2703,34.25
2023,Chandigarh,1.1,1.1091,1.22
2023,Chhattisgarh,30.6,1.168,35.74
2023,Dadra and Nagar Haveli & Daman and Diu,0.5,0.12,0.06
2023,Delhi,19.3,0.1052,2.03
2023,Goa,1.58,0.0949,0.15
2023,Gujarat,63.8,0.1906,12.16
2023,Haryana,29.5,0.1129,3.33
2023,Himachal Pradesh,7.3,0.8521,6.22
2023,Jammu & Kashmir,13.6,0.5772,7.85
2023,Jharkhand,38.5,0.4379,16.86
2023,Karnataka,67.5,1.1067,74.7
2023,Kerala,35.8,0.1344,4.81
2023,LAKSHADWEEP,0.06,0.3333,0.02
2023,Ladakh,0.3,0.1333,0.04
2023,Madhya Pradesh,85.0,0.2275,19.34
2023,Maharashtra,125.0,0.1349,16.86
2023,Manipur,3.2,0.0562,0.18
2023,Meghalaya,3.4,0.1324,0.45
2023,Mizoram,1.2,0.1083,0.13
2023,Nagaland,2.2,0.0273,0.06
2023,Odisha,46.5,0.6701,31.16
2023,Puducherry,1.6,0.1312,0.21
2023,Punjab,30.0,0.122,3.66
2023,Rajasthan,80.0,0.7526,60.21
2023,Sikkim,0.69,0.5507,0.38
2023,Tamil Nadu,75.3,0.1041,7.84
2023,Telangana,37.8,0.7833,29.61
2023,Tripura,4.1,0.0439,0.18
2023,Uttar Pradesh,235.0,0.0415,9.75
2023,Uttarakhand,11.4,1.5044,17.15
2023,West Bengal,98.7,0.0077,0.76
