Year,UID,State name,District Name,Aspirational Final,Category name,Class,Gender,Amount of Scholarship,Population (millions)
2023,233913,Bihar,Siwan,Non-Aspirational,Gen,8,Boys,10000,104.0
2023,221284,Karnataka,KODAGU,Non-Aspirational,SC,10,Boys,10000,
2023,203428,Jharkhand,PALAMU,Aspirational,SC,8,Boys,10000,
2023,238609,Karnataka,Mysuru,Non-Aspirational,ST,9,Girls,10000,
2023,234322,Maharashtra,MUMBAI,Non-Aspirational,Gen,8,Boys,10000,125.0
2023,202150,Bihar,NAWADA,Aspirational,OBC,8,Boys,10000,104.0
2023,235426,Karnataka,Mysuru,Non-Aspirational,OBC,7,Boys,10000,
2023,205389,Madhya Pradesh,JABALPUR,Non-Aspirational,OBC,10,Boys,10000,
2023,234333,Maharashtra,NASHIK,Non-Aspirational,Gen,8,Boys,10000,125.0
2023,202308,Jharkhand,GODDA,Aspirational,OBC,8,Boys,10000,
2023,207375,Andhra Pradesh,Annamayya,Non-Aspirational,SC,9,Boys,10000,
2023,239480,Karnataka,DAVANGERE,Non-Aspirational,OBC,9,Boys,10000,
2023,237531,Odisha,Ganjam,Non-Aspirational,SC,10,Girls,10000,
2023,202019,Andhra Pradesh,Y.S.R.,Aspirational,OBC,8,Boys,10000,
2023,228402,Telangana,Mancherial,Non-Aspirational,Gen,10,Boys,10000,
2023,205297,Karnataka,VIJAYAPURA,Non-Aspirational,OBC,10,Boys,10000,
2023,227609,Uttarakhand,Nainital,Non-Aspirational,Gen,9,Boys,10000,
2023,226005,Karnataka,GADAG,Non-Aspirational,OBC,6,Boys,10000,
2023,210311,Jharkhand,BOKARO,Aspirational,Gen,8,Girls,10000,
2023,204596,Rajasthan,Chittorgarh,Non-Aspirational,SC,8,Girls,10000,80.0
2023,202981,Chhattisgarh,DANTEWADA,Aspirational,OBC,10,Boys,10000,
2023,223473,Karnataka,UTTARA KANNADA,Non-Aspirational,OBC,7,Girls,10000,
2023,235220,Karnataka,DHARWAD,Non-Aspirational,OBC,7,Boys,10000,
2023,202367,Jharkhand,RANCHI,Aspirational,OBC,8,Boys,10000,
2023,207430,Andhra Pradesh,KRISHNA,Non-Aspirational,SC,9,Boys,10000,
2023,211318,Bihar,Nawada,Aspirational,OBC,8,Girls,10000,104.0
2023,219385,Gujarat,PANCH MAHALS,Non-Aspirational,OBC,8,Boys,10000,70.0
2023,219804,Bihar,Darbhanga,Non-Aspirational,Gen,8,Girls,10000,104.0
2023,220628,Andhra Pradesh,CHITTOOR,Non-Aspirational,Gen,9,Girls,10000,
2023,226582,Andhra Pradesh,KRISHNA,Non-Aspirational,Gen,9,Boys,10000,
2023,217598,Karnataka,TUMAKURU,Non-Aspirational,OBC,10,Girls,10000,
2023,209094,Telangana,Peddapalli,Non-Aspirational,OBC,8,Girls,10000,
2023,216701,Andhra Pradesh,KURNOOL,Non-Aspirational,OBC,9,Girls,10000,
2023,202221,Chhattisgarh,KONDAGAON,Aspirational,OBC,8,Boys,10000,
2023,231803,Chhattisgarh,KONDAGAON,Aspirational,SC,8,Girls,10000,
2023,202027,Bihar,ARARIA,Aspirational,OBC,8,Boys,10000,104.0
2023,231741,Odisha,Kalahandi,Aspirational,SC,7,Girls,10000,
2023,237286,Bihar,PATNA,Non-Aspirational,SC,10,Girls,10000,104.0
2023,230953,Karnataka,KOPPAL,Non-Aspirational,OBC,6,Girls,10000,
2023,198912,Jharkhand,Purbi Singhbhum,Aspirational,Gen,8,Boys,10000,
2023,220197,Maharashtra,KOLHAPUR,Non-Aspirational,Gen,8,Girls,10000,125.0
